hospital_name,ccn,phone_number,address,state,hospital_website,filename,file_url,page_url,content_sha256,source
Mission Community Hospital,050704,(818) 787-2222,"14850 Roscoe Blvd. Panorama City CA, 91402, Panorama City, CA, 91402",CA,https://mchonline.org/,050704_Mission_Community_Hospital_standardcharges.csv,https://mchonline.org/050704_Mission_Community_Hospital_standardcharges.csv,https://mchonline.org/price-transparency/,33b5b1ef10cf94cb3f71391b1492f01f7db39e126e6187571bf0101d31be978f,mrfs.csv
Coalinga Medical Center LLC,051338,(559) 821-6100,"COALINGA CA 93210, Coalinga, CA, 93210",CA,https://crmcmed.org/,1801452941_coalinga-regional-medical-center_standardcharges.csv,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbCRMCCOALINGACA&type=CDMWithoutLabel&fileType=CSV,https://apps.para-hcfs.com/PTT/FinalLinks/AmericanAdvancedCoalinga.aspx,092e0df8757201f8d534ca875ae0119fbe5dba47a418d7a0356bbd68181beee3,mrfs.csv
Cedars-Sinai Marina Hospital,050740,(310) 823-8911,"4650 Lincoln Blvd, Marina Del Rey, CA 90292, Marina Del Rey, CA, 90292",CA,https://www.marinahospital.com/,201645949_CEDARS-SINAI-MARINA-HOSPITAL_standardcharges.csv,https://www.marinahospital.com/administration/media/files/201645949_CEDARS-SINAI-MARINA-HOSPITAL_standardcharges.csv,https://www.marinahospital.com/price-transparency,07fa55de1d60cf43774f0b8603cc76de7fb389c378d0031c281ad2098ee02938,mrfs.csv
Canyon Ridge Hospital,054111,(909) 590-3700,"5353 G STREET, CHINO, CA 91710, Chino, CA, 91710",CA,https://canyonridgehospital.com/,202935031_canyon-ridge_standardcharges.csv,https://uhsfilecdn.eskycity.net/bh/202935031_canyon-ridge_standardcharges.csv,https://canyonridgehospital.com/standard-services/,ed5055b00e061418bea7cccb3714efd772a5915dacc042bae4cdde42e07bdf13,mrfs.csv
Del Amo,054053,(310) 530-1151,"23700  CAMINO DEL SOL, TORRANCE, CA 90505, Torrance, CA, 90505",CA,https://delamobehavioralhealth.com/,232646424_del-amo_standardcharges.csv,https://uhsfilecdn.eskycity.net/bh/232646424_del-amo_standardcharges.csv,https://delamobehavioralhealth.com/standard-services,d68af397a94041d43e06695b84af218b515660e545192e7a731392a7c05bf363,mrfs.csv
"Pipeline Health System Holdings, LLC",050091,(323) 583-1931,"2623 East Slauson Avenue, Huntington Park, CA 90255, Huntington Park, CA, 90255",CA,https://www.communityhospitalhp.com/,"272133159_pipeline-health-system-holdings,-llc_standardcharges.csv","https://sthpiprd.blob.core.windows.net/machine-readable-files/8427/272133159_pipeline-health-system-holdings,-llc_standardcharges.csv",https://search.hospitalpriceindex.com/hpi2/machineReadable/CommunityHospitalOfHuntingtonPark/8427,6b877c80d1a1792bf5e9647fb57d9d5e44000d61fe5ac55710e969e9f3fb186f,"mrfs.csv,downloaded"
"Aurora Las Encinas, LLC",054078,(626) 795-9901,"2900 E Del Mar Blvd, Pasadena, CA 91107, Pasadena, CA, 91107",CA,https://www.lasencinashospital.com/,"320039155_aurora-las-encinas,-llc_standardcharges_0.csv",https://www.lasencinashospital.com/sites/default/files/320039155_aurora-las-encinas%2C-llc_standardcharges_0.csv,https://www.lasencinashospital.com/price-transparency,6dc2a3c02f2cb0206fa1f5b95040377c8ef67f9460689ddd82fcc5e566574ced,mrfs.csv
Catalina Island Health,051307,(310) 510-0700,"100 Falls Canyon Rd Avalon CA 90704, Avalon, CA, 90704",CA,https://catalinaislandhealth.org/,330222508_catalina-island-health_standardcharges.csv,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbCIMCAVALONCA&type=CDMWithoutLabel&fileType=CSV,https://apps.para-hcfs.com/PTT/FinalLinks/Catalina_V3.aspx,a926955d7e8f0c3fde42e4aa5c37a82f4383c1e34edaa899c477fe14777beebd,mrfs.csv
"Alta Newport Hospital, LLC",050780,(714) 619-7700,"914662 Newport Ave, Tustin, CA 92780, Tustin, CA, 92780",CA,https://www.foothillregionalmedicalcenter.com/,"300804393_alta-newport-hospital,-llc_standardcharges.csv",https://sthpiprd.blob.core.windows.net/machine-readable-files/7918/300804393_alta-newport-hospital%2C-llc_standardcharges.csv,https://search.hospitalpriceindex.com/hpi2/hospital/FoothillRegionalMedicalCenter/7918or,2b6ea3d5aeab41ae840c815220964944674f192dc1aeb4148aa3386d84a192b3,"mrfs.csv,downloaded"
Grossmont Hospital Corporation,050026,619-740-6000,"5555 Grossmont Center Drive, La Mesa, CA  91942, La Mesa, CA, 91942",CA,https://www.sharp.com/locations/hospitals/sharp-grossmont,33-0449527_grossmont-hospital-corporation_standardcharges.csv,https://downloads.ctfassets.net/pxcfulgsd9e2/pDe4LFVvP8fh5nOJd8Zji/71b0885eb86902c17aee42e048ea796b/33-0449527_grossmont-hospital-corporation_standardcharges.csv,https://www.sharp.com/billing/estimate,9afdb1b7524b4983a6f4a4972b88e4ba70829a9de0523a052e46a9aa6c978ef0,"mrfs.csv,manifest.json,downloaded"
